time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.880000,44,0.28897014,0.45391324,26.007313,0.45391324,26.007313,0.42093432,24.117760,0.43699089,25.037734,1.03107643,59.076328,0.67549658,38.703103,0.03297892,1.889553,0.01692235,0.969580,-9.30787945,-533.302209,-9.31967926,-533.978288,-0.62304354,-35.697765,-0.56772977,-32.528520,173.302209,173.978288,1.29026437,0
0.900000,45,0.28643057,0.44992408,25.778751,0.44992408,25.778751,0.43699089,25.037734,0.44725704,25.625941,0.67549658,38.703103,0.42416778,24.303024,0.01293319,0.741017,0.00266704,0.152810,-9.31967926,-533.978288,-9.32988644,-534.563116,-0.56772977,-32.528520,-0.47389242,-27.152036,173.978288,174.563116,1.37528849,0
0.920000,46,0.27867839,0.43774700,25.081056,0.43774700,25.081056,0.44725704,25.625941,0.45292658,25.950781,0.42416778,24.303024,0.20995788,12.029701,-0.00951004,-0.544885,-0.01517957,-0.869726,-9.32988644,-534.563116,-9.33824825,-535.042213,-0.47389242,-27.152036,-0.38025388,-21.786943,174.563116,175.042213,1.45649397,0
0.940000,47,0.26614901,0.41806591,23.953412,0.41806591,23.953412,0.45292658,25.950781,0.45412022,26.019172,0.20995788,12.029701,-0.01313114,-0.752359,-0.03486067,-1.997369,-0.03605431,-2.065760,-9.33824825,-535.042213,-9.34510899,-535.435304,-0.38025388,-21.786943,-0.31182468,-17.866238,175.042213,175.435304,1.51919448,0
0.960000,48,0.24988869,0.39252424,22.489982,0.39252424,22.489982,0.45412022,26.019172,0.45042837,25.807644,-0.01313114,-0.752359,-0.26173002,-14.996025,-0.06159598,-3.529189,-0.05790412,-3.317662,-9.34510899,-535.435304,-9.35107708,-535.777251,-0.31182468,-17.866238,-0.27565947,-15.794124,175.435304,175.777251,1.55981386,0
0.980000,49,0.23091784,0.36272490,20.782606,0.36272490,20.782606,0.45042837,25.807644,0.44143096,25.292131,-0.26173002,-14.996025,-0.52870023,-30.292292,-0.08770347,-5.025038,-0.07870606,-4.509525,-9.35107708,-535.777251,-9.35670948,-536.099963,-0.27565947,-15.794124,-0.26493362,-15.179578,175.777251,176.099963,1.58372390,0
1.000000,50,0.20996514,0.32981247,18.896862,0.32981247,18.896862,0.44143096,25.292131,0.42699692,24.465121,-0.52870023,-30.292292,-0.79645437,-45.633474,-0.11161849,-6.395268,-0.09718445,-5.568259,-9.35670948,-536.099963,-9.36235046,-536.423168,-0.26493362,-15.179578,-0.26739937,-15.320855,176.099963,176.423168,1.59946156,0
1.020000,51,0.18737897,0.29433420,16.864108,0.29433420,16.864108,0.42699692,24.465121,0.40734395,23.339089,-0.79645437,-45.633474,-1.04803240,-60.047833,-0.13266271,-7.601014,-0.11300975,-6.474982,-9.36235046,-536.423168,-9.36810970,-536.753148,-0.26739937,-15.320855,-0.27206197,-15.588003,176.423168,176.753148,1.61419439,0
1.040000,52,0.16323355,0.25640666,14.691020,0.25640666,14.691020,0.40734395,23.339089,0.38293794,21.940728,-1.04803240,-60.047833,-1.27348340,-72.965224,-0.15093729,-8.648070,-0.12653127,-7.249708,-9.36810970,-536.753148,-9.37394333,-537.087390,-0.27206197,-15.588003,-0.27277669,-15.628953,176.753148,177.087390,1.63160539,0
1.060000,53,0.13752386,0.21602198,12.377148,0.21602198,12.377148,0.38293794,21.940728,0.35433719,20.302025,-1.27348340,-72.965224,-1.47082889,-84.272288,-0.16691595,-9.563580,-0.13831520,-7.924877,-9.37394333,-537.087390,-9.37975311,-537.420266,-0.27277669,-15.628953,-0.26850125,-15.383989,177.087390,177.420266,1.65203929,0
1.080000,54,0.11031112,0.17327631,9.928001,0.17327631,9.928001,0.35433719,20.302025,0.32206959,18.453228,-1.47082889,-84.272288,-1.64320779,-94.148871,-0.18106088,-10.374024,-0.14879328,-8.525227,-9.37975311,-537.420266,-9.38546181,-537.747350,-0.26850125,-15.383989,-0.26130140,-14.971467,177.420266,177.747350,1.67398345,0
1.100000,55,0.08178207,0.12846299,7.360387,0.12846299,7.360387,0.32206959,18.453228,0.28658086,16.419874,-1.64320779,-94.148871,-1.79509890,-102.851591,-0.19360660,-11.092841,-0.15811788,-9.059487,-9.38546181,-537.747350,-9.39104271,-538.067112,-0.26130140,-14.971467,-0.25393805,-14.549578,177.747350,178.067112,1.69564271,0
1.120000,56,0.05222419,0.08203357,4.700177,0.08203357,4.700177,0.28658086,16.419874,0.24824478,14.223378,-1.79509890,-102.851591,-1.92959476,-110.557636,-0.20454729,-11.719697,-0.16621121,-9.523201,-9.39104271,-538.067112,-9.39651489,-538.380645,-0.25393805,-14.549578,-0.24821933,-14.221920,178.067112,178.380645,1.71594715,0
1.140000,57,0.02197811,0.03452314,1.978030,0.03452314,1.978030,0.24824478,14.223378,0.20740342,11.883341,-1.92959476,-110.557636,-2.04752970,-117.314810,-0.21372164,-12.245348,-0.17288028,-9.905311,-9.39651489,-538.380645,-9.40191364,-538.689971,-0.24821933,-14.221920,-0.24453825,-14.011010,178.380645,178.689971,1.73475564,0
1.160000,58,-0.00861254,-0.01352855,-0.775129,-0.01352855,-0.775129,0.20740342,11.883341,0.16440710,9.419833,-2.04752970,-117.314810,-2.14790511,-123.065898,-0.22093197,-12.658470,-0.17793566,-10.194962,-9.40191364,-538.689971,-9.40726471,-538.996565,-0.24453825,-14.011010,-0.24218200,-13.876007,178.689971,178.996565,1.75258923,0
1.180000,59,-0.03923896,-0.06163641,-3.531506,-0.06163641,-3.531506,0.16440710,9.419833,0.11963745,6.854721,-2.14790511,-123.065898,-2.22892570,-127.708036,-0.22604352,-12.951340,-0.18127387,-10.386227,-9.40726471,-538.996565,-9.41257572,-539.300863,-0.24218200,-13.876007,-0.23998375,-13.750056,178.996565,179.300863,1.77019978,0
1.200000,60,-0.06959757,-0.10932361,-6.263782,-0.10932361,-6.263782,0.11963745,6.854721,0.07350904,4.211758,-2.22892570,-127.708036,-2.28905034,-131.152924,-0.22896107,-13.118503,-0.18283265,-10.475539,-9.41257572,-539.300863,-9.41783237,-539.602047,-0.23998375,-13.750056,-0.23694174,-13.575762,179.300863,179.602047,1.78816998,0
1.220000,61,-0.09941986,-0.15616836,-8.947788,-0.15616836,-8.947788,0.07350904,4.211758,0.02646219,1.516172,-2.28905034,-131.152924,-2.32714558,-133.335620,-0.22967739,-13.159545,-0.18263055,-10.463960,-9.41783237,-539.602047,-9.42300320,-539.898314,-0.23694174,-13.575762,-0.23226269,-13.307672,179.602047,179.898314,1.80690145,0
1.240000,62,-0.12845108,-0.20177048,-11.560597,-0.20177048,-11.560597,0.02646219,1.516172,-0.02105017,-1.206086,-2.32714558,-133.335620,-2.34283304,-134.234445,-0.22823267,-13.076769,-0.18072031,-10.354511,-9.42300320,-539.898314,-9.42804337,-540.187094,-0.23226269,-13.307672,-0.22553734,-12.922338,179.898314,179.812906,1.80655837,0
1.260000,63,-0.15644673,-0.24574594,-14.080205,-0.24574594,-14.080205,-0.02105017,-1.206086,-0.06857549,-3.929086,-2.34283304,-134.234445,-2.33631921,-133.861230,-0.22469577,-12.874119,-0.17717046,-10.151119,-9.42804337,-540.187094,-9.43290806,-540.465820,-0.22553734,-12.922338,-0.21659933,-12.410227,179.812906,179.534180,1.79729939,0
1.280000,64,-0.18316069,-0.28770816,-16.484463,-0.28770816,-16.484463,-0.06857549,-3.929086,-0.11567050,-6.627432,-2.33631921,-133.861230,-2.30818272,-132.249128,-0.21913268,-12.555378,-0.17203766,-9.857032,-9.43290806,-540.465820,-9.43754578,-540.731542,-0.21659933,-12.410227,-0.20538493,-11.767689,179.534180,179.268458,1.79017365,0
1.300000,65,-0.20838937,-0.32733727,-18.755044,-0.32733727,-18.755044,-0.11567050,-6.627432,-0.16190492,-9.276468,-2.30818272,-132.249128,-2.25908661,-129.436128,-0.21166676,-12.127612,-0.16543235,-9.478575,-9.43754578,-540.731542,-9.44190693,-540.981418,-0.20538493,-11.767689,-0.19173953,-10.985866,179.268458,179.018582,1.78543818,0
1.320000,66,-0.23194483,-0.36433810,-20.875035,-0.36433810,-20.875035,-0.16190492,-9.276468,-0.20686765,-11.852643,-2.25908661,-129.436128,-2.19011307,-125.484235,-0.20243318,-11.598567,-0.15747045,-9.022392,-9.44190693,-540.981418,-9.44593906,-541.212442,-0.19173953,-10.985866,-0.17563836,-10.063337,179.018582,178.787558,1.78327882,0
1.340000,67,-0.25387511,-0.39878610,-22.848760,-0.39878610,-22.848760,-0.20686765,-11.852643,-0.25017276,-14.333844,-2.19011307,-125.484235,-2.10257125,-120.468459,-0.19191845,-10.996117,-0.14861333,-8.514917,-9.44593906,-541.212442,-9.44958973,-541.421610,-0.17563836,-10.063337,-0.15706807,-8.999338,178.787558,178.578390,1.78387403,0
1.360000,68,-0.27419677,-0.43070731,-24.677711,-0.43070731,-24.677711,-0.25017276,-14.333844,-0.29149622,-16.701503,-2.10257125,-120.468459,-2.00033069,-114.610506,-0.18053454,-10.343867,-0.13921109,-7.976208,-9.44958973,-541.421610,-9.45282936,-541.607227,-0.15706807,-8.999338,-0.13754071,-7.880502,178.578390,178.392773,1.78636229,0
