time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.210000,10,2,42,-0.14895654,-0.23398039,-13.406089,-0.23398039,-13.406089,-7.28610420,-7.60161304,-7.28610420,-7.60161304,0.37701702,21.601484,0.45357531,25.987951,18.09089279,1036.531805,15.31165886,877.293430,-0.61099741,-35.007573,-0.68755570,-39.394040,-0.19022435,-10.899052,-0.23982990,-13.741241,-11.56905174,-662.857838,-9.92111015,-568.437740,10.899052,13.741241,0.10861138,0
0.215000,10,3,43,-0.14895654,-0.23398039,-13.406089,-0.23398039,-13.406089,-7.60161304,-7.79719448,-7.60161304,-7.79719448,0.45357531,25.987951,0.51614809,29.573107,15.31165886,877.293430,12.51455116,717.030964,-0.68755570,-39.394040,-0.75012848,-42.979196,-0.23982990,-13.741241,-0.28098223,-16.099096,-9.92111015,-568.437740,-8.23046398,-471.570850,13.741241,16.099096,0.10861138,0
0.220000,11,0,44,-1.35208595,-2.12385178,-121.687743,-2.12385178,-121.687743,-7.87821102,-10.00000000,-7.87821102,-10.00000000,0.51614809,29.573107,0.56048101,32.113196,12.51455116,717.030964,8.86658573,508.017941,-2.63999987,-151.260850,-2.68433279,-153.800940,-0.28098223,-16.099096,-0.31078872,-17.806882,-8.23046398,-471.570850,-5.96129751,-341.557188,16.099096,17.806882,0.06532540,0
0.225000,11,1,45,-1.35208595,-2.12385178,-121.687743,-2.12385178,-121.687743,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.56048101,32.113196,0.58689296,33.626490,8.86658573,508.017941,5.28238821,302.658550,-2.68433279,-153.800940,-2.71074474,-155.314233,-0.31078872,-17.806882,-0.32909149,-18.855553,-5.96129751,-341.557188,-3.66055465,-209.734332,17.806882,18.855553,0.06532540,0
0.230000,11,2,46,-1.35208595,-2.12385178,-121.687743,-2.12385178,-121.687743,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.58689296,33.626490,0.59569591,34.130862,5.28238821,302.658550,1.76059115,100.874442,-2.71074474,-155.314233,-2.71954769,-155.818605,-0.32909149,-18.855553,-0.33585718,-19.243199,-3.66055465,-209.734332,-1.35314035,-77.529231,18.855553,19.243199,0.06532540,0
0.235000,11,3,47,-1.35208595,-2.12385178,-121.687743,-2.12385178,-121.687743,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.59569591,34.130862,0.58719420,33.643750,1.76059115,100.874442,-1.70034385,-97.422526,-2.71954769,-155.818605,-2.71104598,-155.331493,-0.33585718,-19.243199,-0.33115903,-18.974015,-1.35314035,-77.529231,0.93963075,53.836876,19.243199,18.974015,0.06532540,0
0.240000,12,0,48,-2.03913355,-3.20306349,-183.522019,-3.20306349,-183.522019,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.58719420,33.643750,0.56168449,32.182151,-1.70034385,-97.422526,-5.10194492,-292.319911,-3.79025769,-217.165769,-3.76474798,-215.704170,-0.33115903,-18.974015,-0.31522360,-18.060982,0.93963075,53.836876,3.18708658,182.606610,18.974015,18.060982,0.09575272,0
0.245000,12,1,49,-2.03913355,-3.20306349,-183.522019,-3.20306349,-183.522019,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.56168449,32.182151,0.51945615,29.762645,-5.10194492,-292.319911,-8.44566822,-483.901144,-3.76474798,-215.704170,-3.72251964,-213.284664,-0.31522360,-18.060982,-0.28842008,-16.525253,3.18708658,182.606610,5.36070585,307.145821,18.060982,16.525253,0.09575272,0
0.250000,12,2,50,-2.03913355,-3.20306349,-183.522019,-3.20306349,-183.522019,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.51945615,29.762645,0.46079203,26.401439,-8.44566822,-483.901144,-11.73282242,-672.241206,-3.72251964,-213.284664,-3.66385552,-209.923458,-0.28842008,-16.525253,-0.25122589,-14.394183,5.36070585,307.145821,7.43884039,426.214159,16.525253,14.394183,0.09575272,0
0.255000,12,3,51,-2.03913355,-3.20306349,-183.522019,-3.20306349,-183.522019,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.46079203,26.401439,0.38596952,22.114424,-11.73282242,-672.241206,-14.96450138,-857.402772,-3.66385552,-209.923458,-3.58903301,-205.636444,-0.25122589,-14.394183,-0.20416823,-11.697978,7.43884039,426.214159,9.41153240,539.241085,14.394183,11.697978,0.09575272,0
0.260000,13,0,52,-0.29185745,-0.45844862,-26.267171,-0.45844862,-26.267171,-10.00000000,-4.51066971,-10.00000000,-4.51066971,0.38596952,22.114424,0.30499834,17.475118,-14.96450138,-857.402772,-16.19423866,-927.861528,-0.84441814,-48.381595,-0.76344696,-43.742289,-0.20416823,-11.697978,-0.15388227,-8.816804,9.41153240,539.241085,10.05719376,576.234756,11.697978,8.816804,0.06094351,0
0.265000,13,1,53,-0.29185745,-0.45844862,-26.267171,-0.45844862,-26.267171,-4.51066971,-3.67843986,-4.51066971,-3.67843986,0.30499834,17.475118,0.21933788,12.567135,-16.19423866,-927.861528,-17.13209343,-981.596648,-0.76344696,-43.742289,-0.67778650,-38.834306,-0.15388227,-8.816804,-0.10131130,-5.804710,10.05719376,576.234756,10.51419258,602.418860,8.816804,5.804710,0.06094351,0
